institution_name,12_Month_Enrollment
Alabama A & M University,5088
University of Alabama at Birmingham,10962
Amridge University,240
University of Alabama in Huntsville,7041
Alabama State University,3689
University of Alabama,30125
Central Alabama Community College,818
Athens State University,1459
Auburn University at Montgomery,3758
Auburn University,23189
Birmingham-Southern College,1222
Chattahoochee Valley Community College,924
South University-Montgomery,302
Enterprise State Community College,1185
Coastal Alabama Community College,4055
Faulkner University,1619
Gadsden State Community College,2744
New Beginning College of Cosmetology,127
George C Wallace Community College-Dothan,2108
George C Wallace State Community College-Hanceville,2985
George C Wallace State Community College-Selma,729
Herzing University-Birmingham,430
Huntingdon College,834
Heritage Christian University,28
J. F. Drake State Community and Technical College,366
J F Ingram State Technical College,606
Jacksonville State University,6535
Jefferson State Community College,2949
John C Calhoun State Community College,3715
Lawson State Community College,1915
University of West Alabama,2083
Lurleen B Wallace Community College,996
Marion Military Institute,439
Miles College,1584
University of Mobile,1330
University of Montevallo,2078
Northwest Shoals Community College,1462
University of North Alabama,5369
Northeast Alabama Community College,1335
Oakwood University,1458
Reid State Technical College,190
Bishop State Community College,1766
Samford University,3561
Shelton State Community College,2328
Snead State Community College,1334
University of South Alabama,8497
Spring Hill College,1165
Stillman College,926
Talladega College,1240
H Councill Trenholm State Community College,1154
Troy University,9048
Tuskegee University,2058
United States Sports Academy,35
Bevill State Community College,1573
University of Alaska Anchorage,6053
Alaska Bible College,28
University of Alaska Fairbanks,2815
University of Alaska Southeast,695
Alaska Pacific University,247
Alaska Vocational Technical Center,192
Charter College,3765
Alaska Career College,594
Empire Beauty School-Tucson,128
Carrington College-Phoenix North,1228
Carrington College-Mesa,781
Carrington College-Tucson,484
Arizona Academy of Beauty,63
Miller-Motte College-Arizona Automotive Institute,825
Brookline College-Phoenix,1793
Arizona State University Campus Immersion,60806
Arizona Western College,2441
University of Arizona,30201
Central Arizona College,2229
Charles of Italy Beauty College,79
Cochise County Community College District,5159
Empire Beauty School-Chandler,58
Avalon Institute-Mesa,281
Eastern Arizona College,1857
Embry-Riddle Aeronautical University-Prescott,2897
Glendale Community College,7722
Grand Canyon University,19134
GateWay Community College,1740
Mesa Community College,8750
Mohave Community College,1071
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,1385
Dine College,949
Northern Arizona University,23572
Northland Pioneer College,557
Ottawa University-Phoenix,249
Phoenix College,4260
Pima Community College,6213
Pima Medical Institute-Tucson,3384
Pima Medical Institute-Albuquerque,1168
Prescott College,443
Refrigeration School Inc,1536
Rio Salado College,8616
Roberto-Venn School of Luthiery,46
Scottsdale Community College,3264
South Mountain Community College,1730
Arizona Christian University,764
Universal Technical Institute of Arizona Inc,2628
Empire Beauty School-NW Phoenix,73
Yavapai College,1892
University of Arkansas at Little Rock,4272
University of Arkansas for Medical Sciences,548
Arkansas Baptist College,249
Arkansas Beauty School-Little Rock,206
Arkansas Beauty College,26
Lyon College,673
Arkansas Technical School,93
Arthur's Beauty College,44
University of Arkansas,21123
University of Arkansas at Pine Bluff,2305
Arkansas State University-Beebe,2069
Arkansas State University,7013
Arkansas Tech University,7068
University of Arkansas at Monticello,1956
Arthur's Beauty College,54
Baptist Health College Little Rock,791
Black River Technical College,1052
University of Central Arkansas,8231
Central Baptist College,588
Cossatot Community College of the University of Arkansas,837
Crowley's Ridge College,160
East Arkansas Community College,725
Eastern College of Health Vocations-Little Rock,314
Paul Mitchell the School-Little Rock,507
National Park College,1469
University of Arkansas Community College-Batesville,914
Harding University,3605
Henderson State University,2866
Hendrix College,1112
Hot Springs Beauty College,96
Jefferson Regional School of Nursing,89
John Brown University,1457
Career Academy of Hair Design,289
Academy of Salon and Spa,94
Arkansas State University Mid-South,383
Arkansas Northeastern College,728
New Tyler Barber College Inc,47
North Arkansas College,1098
Northwest Technical Institute,277
Ouachita Baptist University,1533
Arkansas State University Three Rivers,615
Ozarka College,709
University of the Ozarks,848
University of Arkansas Community College-Morrilton,1200
Philander Smith University,1059
Phillips Community College of the University of Arkansas,777
Southeast Arkansas College,879
University of Aesthetics & Cosmetology,55
University of Arkansas-Pulaski Technical College,3402
University of Arkansas Hope-Texarkana,758
University of Arkansas Community College Rich Mountain,438
Paul Mitchell the School-Arkansas,160
Searcy Beauty College,111
Shorter College,254
Williams Baptist University,522
South Arkansas College,689
Southern Arkansas University Main Campus,3186
Southern Arkansas University Tech,550
Velvatex College of Beauty Culture,13
University of Arkansas-Fort Smith,4472
Academy of Art University,4322
College of Alameda,1341
Allan Hancock College,3862
American Academy of Dramatic Arts-Los Angeles,285
American Beauty College,153
American Career College-Los Angeles,2493
American Conservatory Theater,68
American River College,7099
Antelope Valley Community College District,4628
Art Center College of Design,2745
Associated Technical College-Los Angeles,406
Associated Technical College-San Diego,101
Azusa Pacific University,4661
Bakersfield College,8661
Barstow Community College,1493
Bellus Academy-Chula Vista,398
Bethesda University,269
Biola University,3877
Brownson Technical School,328
Bryan University,2101
Butte College,5440
California Institute of Integral Studies,99
Cabrillo College,4139
California Baptist University,7543
California College of the Arts,1473
California Institute of Technology,967
California Lutheran University,3095
California Polytechnic State University-San Luis Obispo,20685
Alliant International University-San Diego,24
California State University-Bakersfield,8907
California State University-Stanislaus,8822
California State University-San Bernardino,17087
California State Polytechnic University-Pomona,24069
California State University-Chico,15969
California State University-Dominguez Hills,12259
California State University-Fresno,20005
California State University-Fullerton,30964
California State University-East Bay,11456
California State University-Long Beach,30486
California State University-Los Angeles,20011
California State University-Northridge,29784
California State University-Sacramento,26005
University of California-Berkeley,30789
University of California-Davis,31072
University of California-Irvine,30586
University of California-Los Angeles,32005
University of California-Riverside,22547
University of California-San Diego,30592
University of California-Santa Barbara,23700
University of California-Santa Cruz,17617
Sofia University,6
California Beauty School,113
California Christian College,8
Haven University,18
California Hair Design Academy,171
California Institute of the Arts,1037
California State University Maritime Academy,902
Canada College,1091
College of the Canyons,7104
Career Academy of Beauty,246
Casa Loma College-Los Angeles,363
CET-San Diego,250
CET-San Jose,324
CET-El Centro,293
CET-Colton,240
CET-Watsonville,193
CET-Salinas,242
Cerritos College,7979
Cerro Coso Community College,1162
Chabot College,4285
Chaffey College,6958
Chapman University,7423
Charles R Drew University of Medicine and Science,181
Concordia University-Irvine,1706
San Diego Christian College,498
Citrus College,5770
Citrus Heights Beauty College,161
City College of San Francisco,8673
Claremont McKenna College,1356
Milan Institute-Visalia,599
Clovis Adult Education,930
Coastline Community College,1588
University of Silicon Valley,482
Coba Academy,136
Columbia College,806
California College of ASU,929
Compton College,1657
Contra Costa College,2104
Cosumnes River College,4350
Crafton Hills College,2326
Cuesta College,3554
Cuyamaca College,2344
Cypress College,6162
De Anza College,10808
International School of Beauty Inc,273
College of the Desert,5294
Design Institute of San Diego,72
Diablo Valley College,8030
Dominican University of California,1307
East Los Angeles College,8543
El Camino Community College District,8939
Empire College,356
Evergreen Valley College,3258
FIDM-Fashion Institute of Design & Merchandising,2253
FIDM-Fashion Institute of Design & Merchandising-San Francisco,164
Feather River Community College District,563
Federico Beauty Institute,319
Redondo Beach Beauty College,130
Foothill College,5572
Fredrick and Charles Beauty College,84
Fresno City College,8965
Fresno Pacific University,2830
Fullerton College,9378
Gavilan College,2282
Gemological Institute of America-Carlsbad,266
Glendale Community College,7388
Glendale Career College,902
Golden Gate University,178
Golden West College,4587
Grossmont College,6658
Salon Success Academy-Riverside,133
Hartnell College,3977
Harvey Mudd College,898
Hilltop Beauty School,72
Holy Names University,631
California State Polytechnic University-Humboldt,6412
Humphreys University-Stockton and Modesto Campuses,238
Imperial Valley College,4375
Institute for Business and Technology,899
Interior Designers Institute,90
International School of Cosmetology,290
Irvine Valley College,5063
Bellus Academy-El Cajon,312
American Jewish University,46
Reedley College,3603
Life Pacific University,435
University of La Verne,3700
Laguna College of Art and Design,754
Lake Tahoe Community College,924
Lancaster Beauty School,186
Laney College,3136
Lassen Community College,653
Latin American Bible Institute,52
Lincoln University,103
Southern California Seminary,9
La Sierra University,1453
Loma Linda University,1047
Long Beach City College,10338
Los Angeles Harbor College,2644
Los Angeles Pierce College,6074
Los Angeles Southwest College,1420
Los Angeles Trade Technical College,3419
Los Angeles Valley College,4347
The Master's University and Seminary,957
Los Angeles City College,4474
Los Angeles Mission College,2298
Los Medanos College,3572
Loyola Marymount University,6776
Lu Ross Academy,286
Lyle's College of Beauty,75
Lyle's College of  Beauty,44
Lytles Redwood Empire Beauty College,188
MTI College,1260
College of Marin,1344
Marymount California University,621
Mendocino College,1145
Menlo College,910
Merced College,5410
Merritt College,1906
Northeastern University Oakland,705
MiraCosta College,5449
Mission College,1903
Modern Beauty Academy,38
Modesto Junior College,6342
Moler Barber College,322
Middlebury Institute of International Studies at Monterey,10
Monterey Peninsula College,2707
Moorpark College,5687
Mt San Antonio College,11261
Mount Saint Mary's University,1830
Mt San Jacinto Community College District,6425
Musicians Institute,1055
Napa Valley College,2387
National Holistic Institute,1801
National University,3304
Newschool of Architecture and Design,323
North Adrian's College of Beauty Inc,236
North-West College-Pomona,418
North-West College-West Covina,988
North-West College-Van Nuys,449
San Francisco Bay University,15
Notre Dame de Namur University,591
Occidental College,2076
Ohlone College,3305
Orange Coast College,8612
Otis College of Art and Design,1233
Oxnard College,2284
Hope International University,560
Concorde Career College-San Diego,1197
Palo Alto University,94
Pacific Oaks College,95
Pacific States University,6
Pacific Union College,942
University of the Pacific,3678
Palo Verde College,695
Palomar College,8810
Pasadena City College,10699
Pepperdine University,3442
Pitzer College,1082
Platt College-San Diego,195
Point Loma Nazarene University,2706
Pomona College,1711
Porterville College,2045
Professional Institute of Beauty,148
Santa Ana College,5587
Shasta School of Cosmetology,117
University of Redlands,2698
College of the Redwoods,2024
Salon Success Academy-Upland,264
Salon Success Academy-Corona,202
Rio Hondo College,5529
Riverside City College,6572
Dongguk University Los Angeles,14
Sacramento City College,6180
Saddleback College,6390
Samuel Merritt University,784
San Diego City College,3416
San Diego Mesa College,6017
San Diego Miramar College,3315
San Diego State University,28559
University of San Diego,5980
San Francisco Art Institute,222
San Francisco Conservatory of Music,226
San Francisco State University,22925
University of San Francisco,6570
San Joaquin Delta College,9768
San Joaquin Valley College-Visalia,2888
San Joaquin Valley College-Bakersfield,1143
William Jessup University,1022
San Jose City College,2570
San Jose State University,24416
College of San Mateo,2426
Santa Barbara Business College-Bakersfield,406
Santa Barbara Business College-Santa Maria,130
Santa Barbara City College,7205
Santa Clara University,5753
Santa Monica College,11960
Santa Rosa Junior College,6514
Scripps College,1085
College of the Sequoias,6074
Shasta Bible College and Graduate School,23
Shasta College,4127
Sierra College,8008
Sierra College of Beauty,151
Simpson University,634
College of the Siskiyous,874
Charles A Jones Career and Education Center,281
Skyline College,2705
San Bernardino Valley College,5493
Saint Mary's College of California,2594
Solano Community College,3082
Sonoma State University,7793
South Coast College,217
Vanguard University of Southern California,1745
Concorde Career College-Garden Grove,779
Southwestern College,8380
Southern California Institute of Architecture,233
University of Southern California,20475
Taft College,1529
Thomas Aquinas College,441
Epic Bible College & Graduate School,34
UEI College-Huntington Park,1608
Concorde Career College-San Bernardino,1187
Concorde Career College-North Hollywood,898
Ventura College,4305
Bridges Beauty College,61
Victor Valley College,4503
Berkeley City College,1876
Walden University,1533
Waynes College of Beauty,58
Coalinga College,782
West Los Angeles College,2911
West Valley College,2792
Carrington College-Sacramento,2425
Westmont College,1325
Whittier College,1801
Woodbury University,1092
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,231
Yuba College,2750
The Salon Professional Academy-Grand Junction,99
Adams State University,1447
Aims Community College,2592
Arapahoe Community College,2673
Bel-Rea Institute of Animal Technology,406
University of Colorado Denver/Anschutz Medical Campus,9613
University of Colorado Colorado Springs,8935
Spartan College of Aeronautics and Technology,427
University of Colorado Boulder,26702
Colorado Christian University,2311
Colorado College,2205
Concorde Career College-Aurora,1345
Colorado Mountain College,1654
Colorado Northwestern Community College,506
Colorado School of Mines,5027
Colorado School of Trades,165
Colorado State University-Fort Collins,22937
Colorado Technical University-Colorado Springs,24489
Community College of Aurora,1848
Technical College of the Rockies,163
Community College of Denver,2969
Lincoln College of Technology-Denver,1659
University of Denver,5657
Emily Griffith Technical College,1262
Fort Lewis College,3042
Front Range Community College,6082
International Salon and Spa Academy,190
Lamar Community College,498
Colorado Mesa University,7409
Metropolitan State University of Denver,13668
