name,state,type,in_state_total,out_of_state_total,early_career_pay,enrollment,enrollment_bin
Adams State University,Colorado,Public,18222,29238,44400,1447.0,Small
Agnes Scott College,Georgia,Private,53490,53490,46000,1031.0,Small
Alabama A & M University,Alabama,Public,18077,26297,48700,5088.0,Medium
Alabama State University,Alabama,Public,16490,24818,39800,3689.0,Small
Alaska Pacific University,Alaska,Private,28130,28130,50300,247.0,Small
Albany College of Pharmacy and Health Sciences,New York,Private,46025,46025,81000,808.0,Small
Albertus Magnus College,Connecticut,Private,45260,45260,49700,828.0,Small
Albion College,Michigan,Private,58155,58155,52100,1478.0,Small
Alcorn State University,Mississippi,Public,16752,16752,40900,2869.0,Small
Allen College,Iowa,Private,27252,27252,51600,425.0,Small
Alma College,Michigan,Private,51256,51256,48400,1436.0,Small
Amberton University,Texas,Private,12840,12840,52800,166.0,Small
Amherst College,Massachusetts,Private,71166,71166,63800,1940.0,Small
Amridge University,Alabama,Private,6900,6900,35700,240.0,Small
Andrews University,Michigan,Private,38366,38366,47600,1381.0,Small
Appalachian State University,North Carolina,Public,15518,30325,46600,17205.0,Large
Arizona Christian University,Arizona,Private,37470,37470,42600,764.0,Small
Arkansas Tech University,Arkansas,Public,16938,23718,45000,7068.0,Medium
Asbury University,Kentucky,Private,37358,37358,39400,1434.0,Small
Athens State University,Alabama,Public,6810,12870,45000,1459.0,Small
Auburn University,Alabama,Public,24608,43856,54400,23189.0,Large
Auburn University at Montgomery,Alabama,Public,17268,29028,45000,3758.0,Small
Augsburg University,Minnesota,Private,49080,49080,50500,2209.0,Small
Augusta University,Georgia,Public,20398,39436,47000,4809.0,Small
Augustana University,South Dakota,Private,41266,41266,47900,1900.0,Small
Austin Peay State University,Tennessee,Public,19111,35167,44200,7373.0,Medium
Avila University,Missouri,Private,27100,27100,45900,1090.0,Small
Babson College,Massachusetts,Private,67416,67416,72000,2811.0,Small
Baker University,Kansas,Private,38240,38240,47800,1150.0,Small
Ball State University,Indiana,Public,20130,36702,45600,15033.0,Large
Barnard College,New York,Private,72257,72257,59200,2738.0,Small
Barry University,Florida,Private,40950,40950,47400,3262.0,Small
Barton College,North Carolina,Private,41000,41000,42400,1027.0,Small
Bastyr University,Washington,Private,33756,33756,48400,90.0,Small
Bates College,Maine,Private,69018,69018,59500,1958.0,Small
Baylor University,Texas,Private,58322,58322,55500,14199.0,Medium
Belhaven University,Mississippi,Private,33800,33800,41200,1319.0,Small
Bellarmine University,Kentucky,Private,54450,54450,49000,2655.0,Small
Bellevue College,Washington,Public,4258,9689,50100,8032.0,Medium
Bellevue University,Nebraska,Private,18120,18120,49400,6730.0,Medium
Bellin College,Wisconsin,Private,22178,22178,55800,305.0,Small
Belmont Abbey College,North Carolina,Private,28855,28855,46700,1425.0,Small
Belmont University,Tennessee,Private,46430,46430,47300,6736.0,Medium
Beloit College,Wisconsin,Private,58870,58870,47400,1100.0,Small
Benedict College,South Carolina,Private,22800,22800,38100,2114.0,Small
Benedictine College,Kansas,Private,39830,39830,48700,1964.0,Small
Bennington College,Vermont,Private,69970,69970,48800,716.0,Small
Bentley University,Massachusetts,Private,66200,66200,66600,4315.0,Small
Berea College,Kentucky,Private,46754,46754,39500,1665.0,Small
Berry College,Georgia,Private,49326,49326,44900,1935.0,Small
Birmingham-Southern College,Alabama,Private,30000,30000,49100,1222.0,Small
Black Hills State University,South Dakota,Public,15711,18756,40400,2069.0,Small
Bloomfield College,New Jersey,Private,41500,41500,48400,1589.0,Small
Boise State University,Idaho,Public,18386,34468,50100,13617.0,Medium
Boston College,Massachusetts,Private,69942,69942,63600,9879.0,Medium
Boston University,Massachusetts,Private,69668,69668,61400,18309.0,Large
Bowdoin College,Maine,Private,68620,68620,61300,1970.0,Small
Bowie State University,Maryland,Public,19137,29777,50300,4628.0,Small
Bowling Green State University-Main Campus,Ohio,Public,20273,28261,47200,13540.0,Medium
Bradley University,Illinois,Private,44380,44380,55600,4577.0,Small
Brandeis University,Massachusetts,Private,70835,70835,60600,3887.0,Small
Brescia University,Kentucky,Private,31600,31600,44300,757.0,Small
Brigham Young University-Hawaii,Hawaii,Private,12146,12146,51700,3269.0,Small
Brigham Young University-Idaho,Idaho,Private,8710,8710,53700,26289.0,Large
Brown University,Rhode Island,Private,70326,70326,68200,7060.0,Medium
Bryant University,Rhode Island,Private,59675,59675,60500,3389.0,Small
Bucknell University,Pennsylvania,Private,69754,69754,66700,3698.0,Small
Butler University,Indiana,Private,54950,54950,51800,4561.0,Small
California Institute of Technology,California,Private,67887,67887,84100,967.0,Small
California Polytechnic State University-San Luis Obispo,California,Public,23612,35492,65600,20685.0,Large
California State Polytechnic University-Pomona,California,Public,24711,36591,57700,24069.0,Large
Cameron University,Oklahoma,Public,11902,21322,43900,2860.0,Small
Campbell University,North Carolina,Private,43930,43930,46300,3517.0,Small
Campbellsville University,Kentucky,Private,33400,33400,37600,2686.0,Small
Capitol Technology University,Maryland,Private,31136,31136,67400,365.0,Small
Cardinal Stritch University,Wisconsin,Private,38438,38438,47000,833.0,Small
Carleton College,Minnesota,Private,68844,68844,58800,2114.0,Small
Carnegie Mellon University,Pennsylvania,Private,69883,69883,75900,6501.0,Medium
Carroll College,Montana,Private,45366,45366,48200,1160.0,Small
Carroll University,Wisconsin,Private,41402,41402,45600,2725.0,Small
Carson-Newman University,Tennessee,Private,36710,36710,42700,1776.0,Small
Carthage College,Wisconsin,Private,55540,55540,48900,2623.0,Small
Case Western Reserve University,Ohio,Private,64232,64232,66600,5308.0,Medium
Castleton University,Vermont,Public,22912,38920,41700,1798.0,Small
Catawba College,North Carolina,Private,41008,41008,42500,1230.0,Small
Centenary College of Louisiana,Louisiana,Private,49980,49980,47000,557.0,Small
Central Baptist College,Arkansas,Private,23700,23700,36900,588.0,Small
Central Christian College of Kansas,Kansas,Private,34960,34960,37100,722.0,Small
Central College,Iowa,Private,47575,47575,49000,1276.0,Small
Central Connecticut State University,Connecticut,Public,22792,34032,53100,7647.0,Medium
Central Michigan University,Michigan,Public,23036,23036,47700,13449.0,Medium
Central Washington University,Washington,Public,19187,34168,52700,9636.0,Medium
Centre College,Kentucky,Private,52180,52180,49500,1418.0,Small
Chadron State College,Nebraska,Public,14576,14576,42300,1536.0,Small
Chaminade University of Honolulu,Hawaii,Private,39004,39004,45400,1486.0,Small
Champlain College,Vermont,Private,56364,56364,51100,2632.0,Small
Charles R Drew University of Medicine and Science,California,Private,17440,17440,78300,181.0,Small
Charleston Southern University,South Carolina,Private,35700,35700,42800,2586.0,Small
Charter Oak State College,Connecticut,Public,10161,13101,49200,440.0,Small
Christian Brothers University,Tennessee,Private,40220,40220,51500,1411.0,Small
Christopher Newport University,Virginia,Public,26214,38680,50800,4856.0,Small
Claremont McKenna College,California,Private,71110,71110,68500,1356.0,Small
